Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
27,0.8752224375219906,0.999855101108551,483.8153967696629,701.5514542368915,0.9999778270721436,524.9841262874533,673.8228581460675,0.9999246597290039,458.3020979634832,673.1060539559925,0.9996321201324463,552.9317357209738,704.3837049391386,0.9985743761062622,415.7658151919476,699.1143638810862,0.9875043034553528,631.6441362359551,899.1416491104869,0.982505202293396,348.1378013810862,910.8546933520599,0.9729808568954468,725.4119118679776,1115.2049683988764,0.9938886165618896,270.7101474719101,1110.7425532537454,0.9948574304580688,733.7798455056179,1363.5804365636704,0.9865889549255371,420.7511850421348,938.0248566245318,0.907916784286499,617.9133748829588,1407.6739524812735,0.8735352754592896,415.18295002340824,1399.4753628277153,0.9369837045669556,616.4554073033707,1826.0501521535582,0.9229852557182312,396.0956519194757,1843.2230220037454,0.17342492938041687,628.7842345505619,1920.2004330524346,0.14764603972434998,398.2542573735956,1959.5678253745318
28,0.8734032178626341,0.9998654127120972,483.8322945926967,701.5241690074906,0.9999789595603943,524.4387874531835,674.2030957397004,0.9999262690544128,457.9755530196629,673.0380969101124,0.9995790719985962,576.2724572799626,704.7237827715356,0.9986053705215454,414.69152329119856,698.3999736657304,0.9873923063278198,630.9769282537454,898.370786516854,0.9819051623344421,342.8803838951311,914.9581577715356,0.9724035263061523,723.5093340355807,1113.9500672986892,0.9950831532478333,277.0975977294007,1104.7795236423221,0.9940237998962402,729.9601328417602,1363.9722319756554,0.9853528738021851,417.1885241104869,938.7862827715356,0.9137978553771973,615.5754037921349,1401.5256320224719,0.8537336587905884,410.2312295177903,1397.6659058988764,0.9502955675125122,612.2500438904494,1828.2035639044943,0.9145480990409851,391.8672460205993,1841.5478698501872,0.1340092420578003,624.7026422050562,1918.4793422284645,0.16735437512397766,397.53562441479403,1961.5096851591761
29,0.8763257247560164,0.9997643232345581,481.83096324906376,699.4072594803371,0.9999749660491943,522.960557116105,671.8036780196629,0.9999120235443115,457.04061329588023,669.9410404962547,0.9995489120483398,574.2093867041199,702.1184456928839,0.9980732202529907,413.33582045880155,693.4601767322098,0.9871013760566711,628.177741690075,896.2996693586142,0.9851366281509399,344.58260182584274,910.8747366573034,0.9699643850326538,719.8890303136704,1116.9500526685395,0.9943187236785889,286.9800444756554,1098.8287102059926,0.9965455532073975,731.7744908707866,1362.8934047284645,0.9821618795394897,408.509919241573,925.814606741573,0.9001322984695435,617.189621371723,1403.9248302902622,0.8478866815567017,408.7208860018727,1403.4483263108614,0.9633731842041016,612.0042573735955,1828.0699906367042,0.9575369358062744,395.5759889981274,1829.3572975187267,0.1920560598373413,628.0529465121724,1916.9916022940076,0.12405017018318176,393.0144692181648,1971.0254272003747
30,0.8819792095352622,0.999575138092041,482.52296933520597,695.9599572799626,0.9999678134918213,523.8729664091761,667.8160843867041,0.999922513961792,459.3637347846442,665.6497981039327,0.9995644092559814,554.4804833801498,698.1176117743446,0.9984453916549683,414.35107970505624,690.0914384363297,0.9867787957191467,632.1231273408241,892.8426381086142,0.9829832315444946,352.08106566011236,908.5220622659176,0.9808921813964844,728.258134363296,1108.072112008427,0.9906585216522217,286.83732736423224,1093.321556062734,0.9955160021781921,732.2510680009364,1359.3256963951312,0.9815502166748047,416.7897793773409,923.0197360720974,0.9228660464286804,618.189299508427,1410.8358204588014,0.8901798725128174,413.1556501638577,1394.6067415730338,0.9671648144721985,616.629067181648,1830.5372191011236,0.937235951423645,394.88010592228466,1843.079207631086,0.1477724313735962,638.7298103932585,1963.70859667603,0.21257323026657104,400.5768668071162,1952.294153792135
31,0.8742115620304557,0.999719500541687,485.2310832162922,697.9271272237828,0.999969482421875,526.6821746254682,668.4724660580524,0.9999181628227234,461.0691713483146,667.9557291666667,0.9996242523193359,555.5477528089888,700.5881320224719,0.9983828067779541,416.18833391853934,693.3723958333334,0.9886724948883057,635.3079646535582,893.7993036048689,0.9853644371032715,349.65407010767797,913.434135065543,0.9681733846664429,729.2489612593633,1111.0560042134832,0.9929649829864502,283.1865197799626,1099.323282420412,0.9954866766929626,734.6395131086142,1358.532595973783,0.9884912967681885,430.6884216994382,933.4132871020599,0.9223820567131042,620.0141180945693,1415.6694756554307,0.8780282139778137,414.6033034878277,1400.3954529494383,0.9472616910934448,620.5970564138577,1825.9671992041199,0.9504052996635437,398.77830933988764,1832.5806121254682,0.09136524796485901,634.7232707162921,1923.8483146067417,0.1553865671157837,394.6488032537453,1964.4522471910113
32,0.8806844353675842,0.9998613595962524,488.24269955524346,700.9418158941947,0.9999733567237854,530.3574877106741,671.9606595271536,0.999920129776001,463.53398583801504,671.2783093398876,0.9996973276138306,556.2316391619851,703.0391941713483,0.9983766078948975,419.14274637172286,696.6265800561798,0.9870502948760986,635.3165964419477,895.094145014045,0.9808743000030518,349.7528236189139,912.8525866104869,0.9593570232391357,726.5043451544943,1112.879067181648,0.992916464805603,284.391020014045,1099.0173659878278,0.9951833486557007,735.6138079353932,1361.7028031367042,0.9862748980522156,431.50983146067415,934.8351182116105,0.9276671409606934,621.051249414794,1414.565484550562,0.8738309144973755,416.25782713014985,1401.086873829588,0.9421345591545105,622.6954588014983,1821.5345564138577,0.9659569263458252,403.8622863998128,1831.302814840824,0.15477913618087769,642.8857238998128,1965.2074555243446,0.2077816128730774,400.1031425561798,1955.881173923221
33,0.8795733837520375,0.9997848272323608,486.43192591292143,698.3054628979401,0.9999685287475586,529.0519662921348,669.4935042134832,0.9999184608459473,461.87865753745325,668.3069990636704,0.9996960759162903,555.7749590355805,701.8093106273409,0.9986835718154907,416.4969569288389,694.879301264045,0.9887206554412842,636.4674040262173,894.7060071395132,0.9864003658294678,350.8648613061798,911.9992831226592,0.9645079374313354,728.6088922050562,1108.488120318352,0.9911664724349976,288.1704266151686,1098.5609784644196,0.9963446855545044,734.6395131086142,1358.6737769194758,0.9879205226898193,428.93741221910113,935.607736423221,0.9169464111328125,621.5385797050562,1415.0702247191011,0.8757421970367432,417.6760738529963,1404.7078359082398,0.9376339912414551,622.1398788623596,1819.1798338014983,0.9592054486274719,400.08017322097385,1832.0078417602997,0.16844579577445984,640.8250672986892,1964.709298923221,0.18166157603263855,399.28297635767797,1962.3971500468165
34,0.8780928429435281,0.9997439384460449,485.5705026919476,697.691947565543,0.9999672770500183,527.8878452715356,668.3228727762172,0.9999136328697205,461.0736335440075,667.0781396301498,0.9996670484542847,556.5694493211611,700.1817796114233,0.99868243932724,416.01569815074913,692.9125702247192,0.9872000217437744,635.2387640449438,892.758441596442,0.986074686050415,350.00790028089887,912.3880062031835,0.9641022682189941,731.6480863764045,1107.8615110018727,0.9903764724731445,289.0484550561798,1096.23046875,0.9957841038703918,733.9384363295881,1356.8180887172284,0.982251763343811,425.0495962078652,930.7531601123596,0.9147409200668335,620.2830202481273,1422.4049040262173,0.8837157487869263,414.8923952481274,1397.8070868445693,0.9491451978683472,625.1167485955057,1818.4282830056181,0.9596462249755859,400.94401041666674,1830.8065601591761,0.15909364819526672,638.6015771301497,1964.0616221910113,0.15747293829917908,395.8488412921348,1964.1915379213483
35,0.8765296375050264,0.9998223781585693,486.1597319756555,699.6661399812734,0.9999691247940063,528.7900866104869,670.3386148174158,0.9999181032180786,461.97214419475654,669.9894662921348,0.9996762871742249,556.0462020131087,702.1787219101124,0.998530387878418,418.2624502574906,696.0536633895131,0.9881063103675842,635.423835440075,894.2390127574906,0.9855556488037109,348.92629330524346,913.2994645365169,0.9660694599151611,729.1730307818352,1109.8384099953184,0.9917963743209839,292.7487856975656,1095.2212810159176,0.9963306784629822,735.2304980102997,1359.291169241573,0.9863752722740173,424.12504389044943,931.1544651217229,0.9193963408470154,621.824525983146,1417.9933286516855,0.8777879476547241,416.26967755149815,1400.6827890917602,0.9398213028907776,619.7159556413858,1825.006729868914,0.9585341215133667,398.62103522940083,1834.688524110487,0.1471404731273651,641.8451544943821,1966.1799215823971,0.1461736261844635,397.588439255618,1969.0800561797753
36,0.8736865888623631,0.9998612403869629,487.48127340823976,700.7121956928839,0.9999659061431885,530.2345944522473,671.1952100889513,0.9999171495437622,463.5239641853933,670.9017292837079,0.9997102618217468,557.7275719803371,703.3420382724719,0.9988275766372681,419.1735428370787,697.8178400046817,0.9892184734344482,637.443527621723,895.3766532069288,0.9841899871826172,347.60350830992513,910.9069961376405,0.9666086435317993,728.7712137172284,1110.7094159644196,0.9918630719184875,292.6507636938203,1098.1448970037454,0.9960773587226868,735.9688816713483,1358.8800620318352,0.9904037714004517,425.2170382724719,930.5764279026217,0.9131962060928345,626.016795411985,1413.5273291198503,0.8824216723442078,421.8641736891386,1402.176966292135,0.9449840784072876,624.7847173455057,1822.9111072097378,0.9495331048965454,400.08024637172286,1834.5218867041199,0.10554924607276917,630.7629623127341,1927.2697214419477,0.1403442621231079,396.6474280196629,1963.227118445693
